context,word,frequency,cloze_probability,type
gym,pickle ball,1,0.019230769230769232,pos
gym,relay racing,1,0.019230769230769232,pos
gym,backgammon,1,0.019230769230769232,pos
gym,handball,1,0.019230769230769232,pos
gym,bootcamp,1,0.019230769230769232,pos
gym,biking,1,0.019230769230769232,pos
gym,boxing,1,0.019230769230769232,pos
gym,volley ball,1,0.019230769230769232,pos
gym,rowing,1,0.019230769230769232,pos
gym,lacrose,1,0.019230769230769232,pos
gym,tagging,1,0.019230769230769232,pos
gym,tug of war,1,0.019230769230769232,pos
gym,hiit,1,0.019230769230769232,pos
gym,yankees,1,0.019230769230769232,pos
gym,buffalo biki,1,0.019230769230769232,pos
gym,lakers,1,0.019230769230769232,pos
gym,americnk,1,0.019230769230769232,pos
gym,texas rangers,1,0.019230769230769232,pos
gym,us soccer,1,0.019230769230769232,pos
gym,cross-country,1,0.019230769230769232,pos
gym,aquatics sports,1,0.019230769230769232,pos
gym,motorsports,1,0.019230769230769232,pos
gym,ball sports,1,0.019230769230769232,pos
gym,adventuring,1,0.019230769230769232,pos
gym,jai alai,1,0.019230769230769232,pos
gym,kickball,1,0.019230769230769232,pos
gym,hand ball,1,0.019230769230769232,pos
gym,body building,1,0.019230769230769232,pos
science,chemistry,33,0.6346153846153846,pos
science,physics,31,0.5961538461538461,pos
science,biology,30,0.5769230769230769,pos
science,astronomy,17,0.3269230769230769,pos
science,geology,14,0.2692307692307692,pos
science,notsure,9,0.17307692307692307,pos
science,psychology,7,0.1346153846153846,pos
science,earth science,7,0.1346153846153846,pos
science,anatomy,7,0.1346153846153846,pos
science,zoology,7,0.1346153846153846,pos
science,botany,6,0.11538461538461539,pos
science,medicine,3,0.057692307692307696,pos
science,space,3,0.057692307692307696,pos
science,engineering,3,0.057692307692307696,pos
science,astrology,3,0.057692307692307696,pos
science,physical science,2,0.038461538461538464,pos
science,science magazines,2,0.038461538461538464,pos
science,encyclopedia,2,0.038461538461538464,pos
science,nature,2,0.038461538461538464,pos
science,ecology,2,0.038461538461538464,pos
