dataset_family,dataset,condition,analysis_dataset_id,analysis_label,analysis_unit_id,cv_group_id,human_rate,human_yes,human_total,human_count_status,context_count,trigger_logprob_sum,query_logprob_sum,x_but_not_y_applicable,x_but_not_y_logprob_sum,model_revision,cv_fold
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::big/huge,hu_2023_benchmark::pvt21::big/huge,0.210526316,,,rate_only,1,-8.41694450378418,-8.91694450378418,True,-3.538365364074707,453ed1575b739b5b03ce3758b23befdb0967f40e,2
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::bizarre/surreal,hu_2023_benchmark::pvt21::bizarre/surreal,0.260869565,,,rate_only,1,-9.351787567138672,-10.351787567138672,True,-7.765963077545166,453ed1575b739b5b03ce3758b23befdb0967f40e,3
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::bright/brilliant,hu_2023_benchmark::pvt21::bright/brilliant,0.125,,,rate_only,1,-9.344791412353516,-8.844791412353516,True,-6.019944190979004,453ed1575b739b5b03ce3758b23befdb0967f40e,4
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::busy/full,hu_2023_benchmark::pvt21::busy/full,0.2,,,rate_only,1,-3.996961832046509,-3.371961832046509,True,-2.612070322036743,453ed1575b739b5b03ce3758b23befdb0967f40e,5
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::calm/meditative,hu_2023_benchmark::pvt21::calm/meditative,0.057142857,,,rate_only,1,-8.378458023071289,-11.601980909705162,True,-6.6585252322256565,453ed1575b739b5b03ce3758b23befdb0967f40e,6
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::casual/sloppy,hu_2023_benchmark::pvt21::casual/sloppy,0.517241379,,,rate_only,1,-7.296219825744629,-9.327469825744627,True,-2.620383977890014,453ed1575b739b5b03ce3758b23befdb0967f40e,7
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::cold/frosty,hu_2023_benchmark::pvt21::cold/frosty,0.235294118,,,rate_only,1,-5.045415878295898,-7.674153242260218,True,-6.359470097348094,453ed1575b739b5b03ce3758b23befdb0967f40e,8
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::comfortable/luxurious,hu_2023_benchmark::pvt21::comfortable/luxurious,0.5,,,rate_only,1,-3.6698079109191895,-5.6073079109191895,True,-0.9256290197372437,453ed1575b739b5b03ce3758b23befdb0967f40e,9
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::cool/cold,hu_2023_benchmark::pvt21::cool/cold,0.357142857,,,rate_only,1,-3.711284637451172,-2.211284637451172,True,-0.7579324841499329,453ed1575b739b5b03ce3758b23befdb0967f40e,0
hu_2023_benchmark,pvt21,scalar_inference,hu_pvt21,Hu: Pankratz & van Tiel (2021),pvt21::cute/beautiful,hu_2023_benchmark::pvt21::cute/beautiful,0.135135135,,,rate_only,1,-8.274094581604004,-6.899094581604004,True,-3.9762496948242174,453ed1575b739b5b03ce3758b23befdb0967f40e,1
