story,query,n_triggers,triggers,base_logprob_sum,base_logprob_mean,base_query_token_count,mean_but_not_logprob_sum,median_but_not_logprob_sum,sd_but_not_logprob_sum,min_but_not_logprob_sum,max_but_not_logprob_sum,mean_but_not_logprob_mean,median_but_not_logprob_mean,sd_but_not_logprob_mean,min_but_not_logprob_mean,max_but_not_logprob_mean,mean_delta_logprob_sum,mean_delta_logprob_mean
mall,pretzel stand,5,"burger joint,coffee shop,electronics store,gift shop,grocery store",-12.34680387377739,-4.1156012912591295,3,-18.34520219564438,-18.53566288948059,2.040245046242711,-20.786719799041748,-15.126907169818878,-6.115067398548126,-6.17855429649353,0.6800816820809038,-6.928906599680583,-5.042302389939626,-5.99839832186699,-1.9994661072889963
mall,burger joint,5,"coffee shop,electronics store,gift shop,grocery store,pretzel stand",-7.754072308540344,-3.877036154270172,2,-11.498997354507447,-11.453452706336975,0.7203030794618404,-12.60555386543274,-10.634722352027893,-5.749498677253723,-5.7267263531684875,0.3601515397309202,-6.30277693271637,-5.3173611760139465,-3.7449250459671024,-1.8724625229835512
mask,candy,5,"bandana,gloves,handkerchief,napkins,wallet",-12.47988224029541,-12.47988224029541,1,-15.237141799926757,-15.68460464477539,1.0622900102108852,-15.749418258666992,-13.338022232055664,-15.237141799926757,-15.68460464477539,1.0622900102108852,-15.749418258666992,-13.338022232055664,-2.757259559631347,-2.757259559631347
mask,gloves,5,"bandana,candy,handkerchief,napkins,wallet",-9.15175724029541,-9.15175724029541,1,-9.469251251220703,-8.999418258666992,0.7576243467366564,-10.416105270385742,-8.775522232055664,-9.469251251220703,-8.999418258666992,0.7576243467366564,-10.416105270385742,-8.775522232055664,-0.3174940109252926,-0.3174940109252926
mask,handkerchief,5,"bandana,candy,gloves,napkins,wallet",-10.084154901793227,-3.3613849672644087,3,-16.083321878314017,-16.4688800573349,1.3202176040247973,-17.040364742279053,-13.76062798500061,-5.361107292771339,-5.4896266857783,0.4400725346749327,-5.6801215807596845,-4.586875995000203,-5.99916697652079,-1.9997223255069305
mask,napkins,5,"bandana,candy,gloves,handkerchief,wallet",-15.177063941955566,-7.588531970977783,2,-14.057471132278442,-13.663656949996948,0.6795045976531354,-14.864072650671005,-13.466540575027466,-7.028735566139221,-6.831828474998474,0.3397522988265677,-7.432036325335503,-6.733270287513733,1.1195928096771244,0.5597964048385622
mask,wallet,5,"bandana,candy,gloves,handkerchief,napkins",-8.40175724029541,-8.40175724029541,1,-13.835541915893554,-13.999418258666992,0.7656031322747576,-14.56005859375,-12.783105850219727,-13.835541915893554,-13.999418258666992,0.7656031322747576,-14.56005859375,-12.783105850219727,-5.433784675598144,-5.433784675598144
mask,bandana,5,"candy,gloves,handkerchief,napkins,wallet",-8.263429433107376,-4.131714716553688,2,-13.64103376865387,-14.255005359649658,1.3455097949562895,-14.829748153686523,-11.451881647109985,-6.820516884326935,-7.127502679824829,0.6727548974781448,-7.414874076843262,-5.725940823554993,-5.3776043355464935,-2.6888021677732468
meat,crab,5,"chicken,mushrooms,rice,tofu,turkey",-7.7668843269348145,-7.7668843269348145,1,-7.7595030784606935,-7.675694942474365,0.8277909476268754,-9.055983543395996,-6.773322582244873,-7.7595030784606935,-7.675694942474365,0.8277909476268754,-9.055983543395996,-6.773322582244873,0.007381248474120916,0.007381248474120916
meat,mushrooms,5,"chicken,crab,rice,tofu,turkey",-6.3918843269348145,-6.3918843269348145,1,-7.675546360015869,-7.353538513183594,0.9496535537017522,-8.793129920959473,-6.62438440322876,-7.675546360015869,-7.353538513183594,0.9496535537017522,-8.793129920959473,-6.62438440322876,-1.2836620330810549,-1.2836620330810549
meat,rice,5,"chicken,crab,mushrooms,tofu,turkey",-5.3918843269348145,-5.3918843269348145,1,-6.7940140724182125,-6.853538513183594,0.3740469870219034,-7.238194942474365,-6.335822582244873,-6.7940140724182125,-6.853538513183594,0.3740469870219034,-7.238194942474365,-6.335822582244873,-1.402129745483398,-1.402129745483398
meat,tofu,5,"chicken,crab,mushrooms,rice,turkey",-4.5793843269348145,-4.5793843269348145,1,-4.2803339004516605,-4.300694942474365,0.15161630419636238,-4.430983543395996,-4.085822582244873,-4.2803339004516605,-4.300694942474365,0.15161630419636238,-4.430983543395996,-4.085822582244873,0.29905042648315394,0.29905042648315394
meat,turkey,5,"chicken,crab,mushrooms,rice,tofu",-6.2668843269348145,-6.2668843269348145,1,-5.884084796905517,-6.148322582244873,1.0860884430643478,-7.180983543395996,-4.300694942474365,-5.884084796905517,-6.148322582244873,1.0860884430643478,-7.180983543395996,-4.300694942474365,0.38279953002929723,0.38279953002929723
meat,chicken,5,"crab,mushrooms,rice,tofu,turkey",-2.5168843269348145,-2.5168843269348145,1,-2.695071792602539,-2.960822820663452,1.2544625699215022,-4.368483543395996,-0.9806296825408936,-2.695071792602539,-2.960822820663452,1.2544625699215022,-4.368483543395996,-0.9806296825408936,-0.1781874656677247,-0.1781874656677247
restaurant,cocktails,5,"cake,salad,soda,soup,vodka",-5.241128444671631,-5.241128444671631,1,-6.302835941314697,-6.583354473114014,1.273342966531347,-8.001477241516113,-4.516558647155762,-6.302835941314697,-6.583354473114014,1.273342966531347,-8.001477241516113,-4.516558647155762,-1.0617074966430664,-1.0617074966430664
restaurant,salad,5,"cake,cocktails,soda,soup,vodka",-11.163002967834473,-11.163002967834473,1,-8.016155803203583,-10.052104949951172,4.272369366698236,-11.751477241516113,-0.9764565825462341,-8.016155803203583,-10.052104949951172,4.272369366698236,-11.751477241516113,-0.9764565825462341,3.1468471646308895,3.1468471646308895
restaurant,soda,5,"cake,cocktails,salad,soup,vodka",-6.553628444671631,-6.553628444671631,1,-5.580501222610474,-5.311332702636719,1.3374147878275768,-7.626477241516113,-3.9540584087371826,-5.580501222610474,-5.311332702636719,1.3374147878275768,-7.626477241516113,-3.9540584087371826,0.9731272220611569,0.9731272220611569
restaurant,soup,5,"cake,cocktails,salad,soda,vodka",-11.241127967834473,-11.241127967834473,1,-8.114380979537964,-10.208354949951172,3.670857061947196,-11.095227241516113,-2.3738324642181396,-8.114380979537964,-10.208354949951172,3.670857061947196,-11.095227241516113,-2.3738324642181396,3.1267469882965084,3.1267469882965084
restaurant,vodka,5,"cake,cocktails,salad,soda,soup",-5.678628444671631,-5.678628444671631,1,-6.596876716613769,-6.284181118011475,1.2131135863174856,-8.601456642150879,-5.520854473114014,-6.596876716613769,-6.284181118011475,1.2131135863174856,-8.601456642150879,-5.520854473114014,-0.9182482719421383,-0.9182482719421383
restaurant,cake,5,"cocktails,salad,soda,soup,vodka",-8.366127967834473,-8.366127967834473,1,-6.875110483169555,-7.458354473114014,2.495454169422711,-9.970227241516113,-3.5613324642181396,-6.875110483169555,-7.458354473114014,2.495454169422711,-9.970227241516113,-3.5613324642181396,1.4910174846649173,1.4910174846649173
salad,cigarettes,5,"chips,dressing,lettuce,meat,tuna",-12.464850425720215,-12.464850425720215,1,-12.037360763549804,-12.636311531066895,1.4422208957508298,-13.745342254638672,-10.329071044921875,-12.037360763549804,-12.636311531066895,1.4422208957508298,-13.745342254638672,-10.329071044921875,0.4274896621704105,0.4274896621704105
salad,dressing,5,"chips,cigarettes,lettuce,meat,tuna",-7.433600425720215,-7.433600425720215,1,-5.61463098526001,-6.220224380493164,1.2527208557298415,-7.0269365310668945,-4.141571044921875,-5.61463098526001,-6.220224380493164,1.2527208557298415,-7.0269365310668945,-4.141571044921875,1.8189694404602053,1.8189694404602053
salad,lettuce,5,"chips,cigarettes,dressing,meat,tuna",-1.558600664138794,-1.558600664138794,1,-1.6511085271835326,-1.526936650276184,0.8896647844267226,-2.907724618911743,-0.7558547258377075,-1.6511085271835326,-1.526936650276184,0.8896647844267226,-2.907724618911743,-0.7558547258377075,-0.09250786304473868,-0.09250786304473868
salad,meat,5,"chips,cigarettes,dressing,lettuce,tuna",-10.996100425720215,-10.996100425720215,1,-7.735414695739746,-7.193354606628418,1.1378696048901726,-9.735956192016602,-7.010967254638672,-7.735414695739746,-7.193354606628418,1.1378696048901726,-9.735956192016602,-7.010967254638672,3.2606857299804686,3.2606857299804686
salad,tuna,5,"chips,cigarettes,dressing,lettuce,meat",-8.527350425720215,-8.527350425720215,1,-6.9967570304870605,-6.9644365310668945,0.44194565221022925,-7.568354606628418,-6.391571044921875,-6.9967570304870605,-6.9644365310668945,0.44194565221022925,-7.568354606628418,-6.391571044921875,1.5305933952331543,1.5305933952331543
salad,chips,5,"cigarettes,dressing,lettuce,meat,tuna",-9.402350425720215,-9.402350425720215,1,-7.862487697601319,-7.735955715179443,0.7512945171561524,-8.885967254638672,-7.068354606628418,-7.862487697601319,-7.735955715179443,0.7512945171561524,-8.885967254638672,-7.068354606628418,1.5398627281188961,1.5398627281188961
science,geology,5,"art,math,philosophy,physics,zoology",-4.5650921911001205,-2.2825460955500603,2,-5.4052450772374865,-6.251368656754494,1.7829482929993135,-6.931361416354775,-3.0220081713050604,-2.7026225386187432,-3.125684328377247,0.8914741464996567,-3.4656807081773877,-1.5110040856525302,-0.8401528861373659,-0.42007644306868297
science,math,5,"art,geology,philosophy,physics,zoology",-5.27369499206543,-5.27369499206543,1,-5.689359378814697,-5.343075752258301,0.7556509293772447,-6.515572547912598,-4.8511457443237305,-5.689359378814697,-5.343075752258301,0.7556509293772447,-6.515572547912598,-4.8511457443237305,-0.41566438674926776,-0.41566438674926776
science,philosophy,5,"art,geology,math,physics,zoology",-8.11744499206543,-8.11744499206543,1,-5.593819522857666,-5.703072547912598,0.46714096012165063,-6.093075752258301,-4.918011665344238,-5.593819522857666,-5.703072547912598,0.46714096012165063,-6.093075752258301,-4.918011665344238,2.5236254692077633,2.5236254692077633
science,physics,5,"art,geology,math,philosophy,zoology",-1.2111947536468506,-1.2111947536468506,1,-2.9543466091156008,-2.528791904449463,0.82421485416671,-4.2261457443237305,-2.2305116653442383,-2.9543466091156008,-2.528791904449463,0.82421485416671,-4.2261457443237305,-2.2305116653442383,-1.7431518554687502,-1.7431518554687502
