NextWordPredictionModelRaw,NextWordPredictionModel,AlternativeStructure,context,observed_rows,observed_boundaries,average_log_likelihood,median_log_likelihood,std_log_likelihood,min_log_likelihood,max_log_likelihood
qwen,Qwen,conjunction,transport,960,10,-1.8384657990573128,-0.0140989243795016,5.496903971689097,-23.025850929940457,0.0
qwen,Qwen,disjunction,bag,1440,10,-1.6853151860857662,-0.0555127099302588,5.214434466139454,-36.7368005696771,0.0
qwen,Qwen,disjunction,bakery,2130,10,-0.9098535160262541,-0.3710636813908319,2.153988747914413,-36.7368005696771,0.0
qwen,Qwen,disjunction,beach,2130,10,-1.9267629584316956,-0.4557063245449113,4.8100004843596675,-36.7368005696771,0.0
qwen,Qwen,disjunction,cold,920,10,-4.265265977653285,-1.0906441190189329,8.068363522036517,-36.7368005696771,0.0
qwen,Qwen,disjunction,cut,2130,10,-1.5434006854718085,-0.1935847490726654,3.8593982241781375,-36.7368005696771,0.0
qwen,Qwen,disjunction,fridge,2130,10,-0.7449851922973763,-0.12216827236077485,2.56177094932641,-23.025850929940457,0.0
qwen,Qwen,disjunction,gym,1380,10,-1.3496034022467038,-0.0512932943875506,2.989401833562355,-23.025850929940457,0.0
qwen,Qwen,disjunction,hot,2130,10,-2.3123470847353103,-0.2331938871677111,5.261600800260943,-23.025850929940457,0.0
qwen,Qwen,disjunction,mask,1430,10,-1.1731131706167086,-0.2181560098031707,1.665323941351885,-6.214608098422191,-0.0020020026706729
qwen,Qwen,disjunction,meat,1460,10,-1.058628427508384,-0.4812668215244463,1.2364336819934811,-6.214608098422191,0.0
qwen,Qwen,disjunction,restaurant,2130,10,-0.8056751850935623,-0.4748151862429576,1.4482382687432696,-23.025850929940457,0.0
qwen,Qwen,disjunction,salad,1400,10,-1.8758117214352263,-0.1508228897345836,4.595407764920346,-36.7368005696771,0.0
qwen,Qwen,disjunction,science,2130,10,-1.2969378266912013,-0.5208759596194922,2.4058062465882077,-23.025850929940457,0.0
qwen,Qwen,disjunction,throw,1380,10,-1.747387908674692,-0.028399474521698,4.718254487520202,-36.7368005696771,0.0
qwen,Qwen,disjunction,transport,960,10,-7.080233818213146,-0.0429075010112765,11.502236200816537,-36.7368005696771,0.0
